[14:07:53.026] ================ START SliceEq SELF-TRAINING ================
[14:07:53.026] Namespace(root_path='/home/aiteam/zhengtaoma/Baseline/data/PROMISE12_h5_training_source', exp='SliceEq_PROMISE12', model='unet', max_iterations=30000, batch_size=24, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, num_classes=2, labeled_bs=12, labelnum=7, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, pretrained_checkpoint='/home/aiteam/zhengtaoma/UniMatch_35_5_10_Pre10000_Self30000_label7_seed1337_7_labeled/pre_train/unet/unet_best_model.pth', sliceeq_radius=1, sliceeq_sigma_min=0.45, sliceeq_sigma_max=0.85, sliceeq_phase_min=-0.25, sliceeq_phase_max=0.25)
[14:07:53.303] Loaded shared pretrain checkpoint: /home/aiteam/zhengtaoma/UniMatch_35_5_10_Pre10000_Self30000_label7_seed1337_7_labeled/pre_train/unet/unet_best_model.pth
[14:07:53.304] Shared pretrain SHA-256: 49e8883039a5712102dc17c5277009504b55c232a10a0af1de4d26fbb414b9b9
[14:07:53.306] 15 iterations per epoch
[14:07:53.306] SliceEq profile: offsets=(-1,0,1), sigma=[0.450, 0.850], phase=[-0.250, 0.250]
[15:11:58.898] iteration 21600 : mean_dice : 0.773167, best_dice : 0.809343
[15:12:27.368] iteration 21800 : mean_dice : 0.794853, best_dice : 0.809343
[15:12:55.698] iteration 22000 : mean_dice : 0.789301, best_dice : 0.809343
[15:13:24.041] iteration 22200 : mean_dice : 0.792297, best_dice : 0.809343
[15:13:53.125] iteration 22400 : mean_dice : 0.798595, best_dice : 0.809343
[15:14:21.359] iteration 22600 : mean_dice : 0.792480, best_dice : 0.809343
[15:14:49.722] iteration 22800 : mean_dice : 0.792398, best_dice : 0.809343
[15:15:18.510] iteration 23000 : mean_dice : 0.795290, best_dice : 0.809343
[15:15:46.887] iteration 23200 : mean_dice : 0.802816, best_dice : 0.809343
[15:16:15.075] iteration 23400 : mean_dice : 0.776071, best_dice : 0.809343
[15:16:43.907] iteration 23600 : mean_dice : 0.782607, best_dice : 0.809343
[15:17:11.850] iteration 23800 : mean_dice : 0.792415, best_dice : 0.809343
[15:17:39.924] iteration 24000 : mean_dice : 0.800261, best_dice : 0.809343
[15:17:39.933] save model to ../model/SliceEq_PROMISE12_7_labeled/self_train/unet/iter_24000.pth
[15:18:08.710] iteration 24200 : mean_dice : 0.800478, best_dice : 0.809343
[15:18:37.124] iteration 24400 : mean_dice : 0.788175, best_dice : 0.809343
[15:19:05.540] iteration 24600 : mean_dice : 0.795971, best_dice : 0.809343
[15:19:34.608] iteration 24800 : mean_dice : 0.811287, best_dice : 0.811287
[15:20:03.284] iteration 25000 : mean_dice : 0.795184, best_dice : 0.811287
[15:20:31.547] iteration 25200 : mean_dice : 0.803045, best_dice : 0.811287
[15:21:00.245] iteration 25400 : mean_dice : 0.798433, best_dice : 0.811287
[15:21:28.544] iteration 25600 : mean_dice : 0.799830, best_dice : 0.811287
[15:21:57.015] iteration 25800 : mean_dice : 0.807109, best_dice : 0.811287
[15:22:25.920] iteration 26000 : mean_dice : 0.804081, best_dice : 0.811287
[15:22:54.185] iteration 26200 : mean_dice : 0.800295, best_dice : 0.811287
[15:23:22.378] iteration 26400 : mean_dice : 0.809442, best_dice : 0.811287
[15:23:51.301] iteration 26600 : mean_dice : 0.803591, best_dice : 0.811287
[15:24:19.767] iteration 26800 : mean_dice : 0.801689, best_dice : 0.811287
[15:24:47.790] iteration 27000 : mean_dice : 0.794812, best_dice : 0.811287
