[10:11:57.282] ================ START BMER SELF-TRAINING ================
[10:11:57.282] Namespace(root_path='/home/aiteam/zhengtaoma/Baseline/data/PROMISE12_h5_training_source', exp='BMER_PROMISE12', model='unet', pre_iterations=10000, max_iterations=30000, batch_size=24, deterministic=1, base_lr=0.01, patch_size=[256, 256], seed=1337, num_classes=2, labeled_bs=12, labelnum=7, ema_decay=0.99, consistency_type='mse', consistency=0.1, consistency_rampup=200.0, bmer_radius=8, bmer_sectors=16, bmer_position_bins=3, bmer_probability=0.5, bmer_strength_min=0.5, bmer_strength_max=1.0, bmer_min_foreground_pixels=32, bmer_bank_batch_size=24)
[10:11:57.320] Loaded pre-trained weights and optimizer from ../model/BMER_PROMISE12_7_labeled/pre_train/unet/unet_best_model.pth
[10:12:03.183] Frozen BMER bank: {'version': 1, 'radius': 8, 'sectors': 16, 'position_bins': 3, 'min_foreground_pixels': 32, 'counts': {0: 94, 1: 209, 2: 68}, 'total': 371, 'skipped': 378, 'frozen': True}
[10:12:03.183] Saved BMER bank to ../model/BMER_PROMISE12_7_labeled/self_train/unet/bmer_profile_bank.pt
[10:12:03.189] 15 iterations per epoch
[10:52:01.169] save model to ../model/BMER_PROMISE12_7_labeled/self_train/unet/iter_15000.pth
[10:52:33.371] iteration 15200 : mean_dice : 0.782345, best_dice : 0.786754
[10:53:05.080] iteration 15400 : mean_dice : 0.788501, best_dice : 0.788501
[10:53:37.016] iteration 15600 : mean_dice : 0.780107, best_dice : 0.788501
[10:54:09.277] iteration 15800 : mean_dice : 0.766026, best_dice : 0.788501
[10:54:40.971] iteration 16000 : mean_dice : 0.787317, best_dice : 0.788501
[10:55:12.534] iteration 16200 : mean_dice : 0.785807, best_dice : 0.788501
[10:55:44.380] iteration 16400 : mean_dice : 0.782389, best_dice : 0.788501
[10:56:16.134] iteration 16600 : mean_dice : 0.768982, best_dice : 0.788501
[10:56:47.769] iteration 16800 : mean_dice : 0.778794, best_dice : 0.788501
[10:57:19.633] iteration 17000 : mean_dice : 0.765107, best_dice : 0.788501
[10:57:51.287] iteration 17200 : mean_dice : 0.775319, best_dice : 0.788501
[10:58:22.971] iteration 17400 : mean_dice : 0.773810, best_dice : 0.788501
[10:58:54.927] iteration 17600 : mean_dice : 0.768663, best_dice : 0.788501
[10:59:26.603] iteration 17800 : mean_dice : 0.773578, best_dice : 0.788501
[10:59:58.372] iteration 18000 : mean_dice : 0.775434, best_dice : 0.788501
[10:59:58.381] save model to ../model/BMER_PROMISE12_7_labeled/self_train/unet/iter_18000.pth
[11:00:30.252] iteration 18200 : mean_dice : 0.766097, best_dice : 0.788501
[11:01:01.994] iteration 18400 : mean_dice : 0.774122, best_dice : 0.788501
[11:01:33.509] iteration 18600 : mean_dice : 0.762705, best_dice : 0.788501
[11:02:05.435] iteration 18800 : mean_dice : 0.763228, best_dice : 0.788501
[11:02:37.205] iteration 19000 : mean_dice : 0.766545, best_dice : 0.788501
[11:03:08.828] iteration 19200 : mean_dice : 0.772773, best_dice : 0.788501
[11:03:40.926] iteration 19400 : mean_dice : 0.762451, best_dice : 0.788501
[11:04:12.642] iteration 19600 : mean_dice : 0.773235, best_dice : 0.788501
[11:04:44.924] iteration 19800 : mean_dice : 0.767872, best_dice : 0.788501
[11:05:16.868] iteration 20000 : mean_dice : 0.764974, best_dice : 0.788501
[11:05:48.640] iteration 20200 : mean_dice : 0.767861, best_dice : 0.788501
[11:06:20.347] iteration 20400 : mean_dice : 0.770734, best_dice : 0.788501
[11:06:52.296] iteration 20600 : mean_dice : 0.764232, best_dice : 0.788501
[11:07:24.031] iteration 20800 : mean_dice : 0.767375, best_dice : 0.788501
